,,0,1,2,3,4
1,2,52.0,0.0,0.0,0.0,0.0
7,8,23.0,0.0,0.0,0.0,0.0
3,4,2.0,0.0,0.0,0.0,0.0
5,6,47.0,0.0,0.0,0.0,0.0
9,10,50.0,0.0,0.0,0.0,0.0
11,12,46.0,0.0,0.0,0.0,0.0
15,3,2.0,0.0,0.0,0.0,0.0
21,11,23.0,0.0,0.0,0.0,0.0
18,7,23.0,0.0,0.0,0.0,0.0
4,5,2.0,0.0,0.0,0.0,0.0
6,7,0.0,0.0,0.0,0.0,0.0
12,5,46.0,0.0,0.0,0.0,0.0
2,13,2.0,0.0,0.0,0.0,0.0
10,19,23.0,0.0,0.0,0.0,0.0
6,16,23.0,0.0,0.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0,0.0
2,9,50.0,0.0,0.0,0.0,0.0
10,11,25.0,0.0,0.0,0.0,0.0
13,14,2.0,0.0,0.0,0.0,0.0
14,15,2.0,0.0,0.0,0.0,0.0
19,20,23.0,0.0,0.0,0.0,0.0
20,21,23.0,0.0,0.0,0.0,0.0
16,17,23.0,0.0,0.0,0.0,0.0
17,18,23.0,0.0,0.0,0.0,0.0
